month,Store,NPS,count_of_responses
2022-09,COPACABANA,76.19047619047619,21
2022-09,IPIRANGA,69.44444444444444,36
2022-09,ITAIM,74.07407407407408,27
2022-09,LAPA,72.91666666666666,48
2022-09,LONDRINA,100.0,11
2022-09,MOEMA,72.97297297297298,37
2022-09,PAULISTA,77.33333333333333,75
2022-09,RIBEIRÃO PRETO,100.0,8
2022-09,SANTO AMARO,64.44444444444444,45
2022-09,SANTOS,68.18181818181819,22
2022-09,SOROCABA,88.88888888888889,18
2022-09,TATUAPÉ,82.97872340425532,47
2022-09,TIJUCA,41.66666666666667,12
2022-09,TUCURUVI,74.4186046511628,43
2022-10,BARRA DA TIJUCA,85.0,20
2022-10,BELO HORIZONTE,77.77777777777777,18
2022-10,CAMPINAS,100.0,22
2022-10,COPACABANA,80.0,15
2022-10,IPIRANGA,58.33333333333333,36
2022-10,ITAIM,76.19047619047619,21
2022-10,LAPA,73.33333333333334,30
2022-10,LONDRINA,73.68421052631578,19
2022-10,MOEMA,61.76470588235294,34
2022-10,PAULISTA,81.48148148148148,54
2022-10,RIBEIRÃO PRETO,91.66666666666666,12
2022-10,SANTO AMARO,48.837209302325576,43
2022-10,SANTOS,82.5,40
2022-10,SOROCABA,79.48717948717949,39
2022-10,TATUAPÉ,68.75,64
2022-10,TIJUCA,84.61538461538461,39
2022-10,TUCURUVI,76.92307692307693,13
2022-11,BARRA DA TIJUCA,66.66666666666667,15
2022-11,BELO HORIZONTE,57.14285714285714,14
2022-11,CAMPINAS,66.66666666666666,15
2022-11,COPACABANA,83.33333333333334,24
2022-11,IPIRANGA,81.25,32
2022-11,ITAIM,40.0,15
2022-11,LAPA,69.23076923076923,26
2022-11,LONDRINA,95.45454545454545,22
2022-11,MOEMA,79.41176470588235,34
2022-11,PAULISTA,63.793103448275865,58
2022-11,RIBEIRÃO PRETO,100.0,8
2022-11,SANTO AMARO,60.60606060606061,33
2022-11,SANTOS,84.21052631578947,38
2022-11,SOROCABA,91.66666666666666,36
2022-11,TATUAPÉ,72.09302325581396,43
2022-11,TIJUCA,77.77777777777777,27
2022-11,TUCURUVI,72.72727272727273,22
2022-12,BARRA DA TIJUCA,95.0,20
2022-12,BELO HORIZONTE,73.91304347826086,23
2022-12,CAMPINAS,80.95238095238095,21
2022-12,COPACABANA,66.66666666666667,30
2022-12,IPIRANGA,57.14285714285714,35
2022-12,ITAIM,87.5,8
2022-12,LAPA,89.47368421052632,38
2022-12,LONDRINA,96.42857142857143,28
2022-12,MOEMA,68.57142857142857,35
2022-12,PAULISTA,75.47169811320755,53
2022-12,RIBEIRÃO PRETO,63.1578947368421,19
2022-12,SANTO AMARO,25.0,20
2022-12,SANTOS,96.66666666666667,30
2022-12,SOROCABA,73.6842105263158,38
2022-12,TATUAPÉ,61.53846153846153,52
2022-12,TIJUCA,72.97297297297297,37
2022-12,TUCURUVI,62.5,24
2023-01,BARRA DA TIJUCA,94.44444444444444,18
2023-01,BELO HORIZONTE,58.06451612903226,31
2023-01,CAMPINAS,78.37837837837837,37
2023-01,COPACABANA,68.57142857142857,35
2023-01,IPIRANGA,76.47058823529412,34
2023-01,ITAIM,78.94736842105263,19
2023-01,LAPA,72.3404255319149,47
2023-01,LONDRINA,86.95652173913044,46
2023-01,MOEMA,78.7878787878788,33
2023-01,PAULISTA,71.56862745098039,102
2023-01,RIBEIRÃO PRETO,100.0,18
2023-01,SANTO AMARO,51.35135135135136,37
2023-01,SANTOS,79.3103448275862,58
2023-01,SOROCABA,79.24528301886792,53
2023-01,TATUAPÉ,77.27272727272727,66
2023-01,TIJUCA,91.11111111111111,45
2023-01,TUCURUVI,65.625,32
2023-02,BARRA DA TIJUCA,100.0,17
2023-02,BELO HORIZONTE,58.82352941176471,17
2023-02,CAMPINAS,81.4814814814815,27
2023-02,COPACABANA,88.88888888888889,36
2023-02,IPIRANGA,87.09677419354838,31
2023-02,ITAIM,83.33333333333334,18
2023-02,LAPA,75.0,40
2023-02,LONDRINA,80.0,20
2023-02,MOEMA,65.21739130434783,23
2023-02,PAULISTA,73.58490566037736,53
2023-02,RIBEIRÃO PRETO,84.61538461538463,13
2023-02,SANTO AMARO,54.054054054054056,37
2023-02,SANTOS,75.0,60
2023-02,SOROCABA,86.95652173913044,46
2023-02,TATUAPÉ,69.81132075471699,53
2023-02,TIJUCA,81.81818181818181,33
2023-02,TUCURUVI,75.0,36
2023-03,BARRA DA TIJUCA,86.66666666666667,15
2023-03,BELO HORIZONTE,81.81818181818181,33
2023-03,CAMPINAS,72.97297297297298,37
2023-03,COPACABANA,91.66666666666666,36
2023-03,IPIRANGA,79.41176470588235,34
2023-03,ITAIM,86.66666666666667,15
2023-03,LAPA,76.92307692307692,39
2023-03,LONDRINA,94.44444444444444,36
2023-03,MOEMA,88.57142857142857,35
2023-03,PAULISTA,69.6969696969697,66
2023-03,RIBEIRÃO PRETO,100.0,12
2023-03,SANTO AMARO,69.76744186046511,43
2023-03,SANTOS,89.13043478260869,46
2023-03,SOROCABA,80.48780487804879,41
2023-03,TATUAPÉ,80.95238095238095,63
2023-03,TIJUCA,72.0,50
2023-03,TUCURUVI,82.14285714285714,28
2023-04,BARRA DA TIJUCA,92.85714285714286,14
2023-04,BELO HORIZONTE,84.61538461538461,26
2023-04,CAMPINAS,94.73684210526315,19
2023-04,COPACABANA,65.0,20
