feature,importance
alcohol,0.2556875201860657
volatile acidity,0.12824674969343766
free sulfur dioxide,0.08918076443073308
sulphates,0.07814146809830456
total sulfur dioxide,0.07143256690328165
residual sugar,0.07056059236475715
pH,0.06947272936263485
chlorides,0.06348173544357968
citric acid,0.05871092904733288
density,0.05838150018442443
fixed acidity,0.05575382963923415
wine_type,0.0009496146462142834
