model,MAE,RMSE,R2
Mean baseline,0.6852839132134478,0.81065409945582,-0.005591701339940913
Linear regression - all features,0.5035304415524371,0.6245199307980126,0.40318034127962254
Linear regression - selected features,0.5062120061229031,0.6265362500348379,0.39932034735978994
