dataset,rows,model,MAE,RMSE,R2
red only,1599,LinearRegression,0.5035304415524371,0.6245199307980126,0.40318034127962254
red only,1599,RandomForest,0.4253203125000001,0.5543835787103998,0.5297040601323989
white only,4898,LinearRegression,0.5862665383250468,0.7543373063311449,0.2652750042179126
white only,4898,RandomForest,0.41642602040816323,0.5858743084972602,0.5567971446442881
combined,6497,LinearRegression,0.5644129055666053,0.7356891017063913,0.26715748512627446
combined,6497,RandomForest,0.43637692307692305,0.6075461125265751,0.5002181228688356
