feature,coefficient
sulphates,0.7630153996947253
pH,0.5276331228487418
wine_type,0.33520837224545946
alcohol,0.23259370530263074
fixed acidity,0.09213303022248213
residual sugar,0.062821651534389
free sulfur dioxide,0.005977904226744297
total sulfur dioxide,-0.0016324304442368264
citric acid,-0.09788782860065406
chlorides,-0.5826316267785956
volatile acidity,-1.5088099342141752
density,-102.08169012366145
