model,best_params,cv_RMSE,MAE,RMSE,R2
RandomForest,"{'max_depth': None, 'n_estimators': 400}",0.6151788505432557,0.43637692307692305,0.6075461125265751,0.5002181228688356
Lasso,{'m__alpha': 0.001},0.7339342039577534,0.5645449281507401,0.7353971037532462,0.26773910594239125
ElasticNet,"{'m__alpha': 0.001, 'm__l1_ratio': 0.8}",0.7339296695250079,0.5645153712938358,0.7354406167135857,0.26765244859296666
Ridge,{'m__alpha': 10.0},0.7338913478600152,0.5644397791747103,0.7356116158547067,0.2673118490712373
LinearRegression,fit_intercept=True,,0.5644129055666053,0.7356891017063913,0.26715748512627446
Mean baseline,-,,0.6690966681961484,0.8596049647587839,-0.0005063320339124822
