model,accuracy,precision_low,sensitivity_low,specificity_high,f1_low,balanced_accuracy,g_mean,roc_auc,tn,fp,fn,tp
Majority baseline,0.6259398496240601,0.0,0.0,1.0,0.0,0.5,0.0,0.5,666.0,0.0,398.0,0.0
Decision Tree (default),0.6823308270676691,0.5785340314136126,0.5552763819095478,0.7582582582582582,0.5666666666666667,0.656767320083903,0.6488781874887467,0.6567673200839029,505.0,161.0,177.0,221.0
Decision Tree (AUC-tuned),0.7387218045112782,0.6724137931034483,0.5879396984924623,0.8288288288288288,0.6273458445040214,0.7083842636606456,0.6980697470335484,0.7927512940075756,552.0,114.0,164.0,234.0
Decision Tree (balanced),0.7283834586466166,0.6147368421052631,0.7336683417085427,0.7252252252252253,0.6689576174112256,0.729446783466884,0.7294345675632568,0.7923306472301448,483.0,183.0,106.0,292.0
Decision Tree (SMOTE),0.7330827067669173,0.6266666666666667,0.7085427135678392,0.7477477477477478,0.6650943396226415,0.7281452306577935,0.7278813215445422,0.7865509982344153,498.0,168.0,116.0,282.0
Logistic Regression,0.7443609022556391,0.7058823529411765,0.542713567839196,0.8648648648648649,0.6136363636363636,0.7037892163520305,0.6851086749630126,0.8125650776404546,576.0,90.0,182.0,216.0
Naive Bayes (Gaussian),0.6710526315789473,0.5789473684210527,0.44221105527638194,0.8078078078078078,0.5014245014245015,0.6250094315420949,0.5976801344792977,0.7355376733517436,538.0,128.0,222.0,176.0
SVM (best kernel),0.7622180451127819,0.7230769230769231,0.5904522613065326,0.8648648648648649,0.6500691562932227,0.7276585630856988,0.7146057760639976,0.8242413267538895,576.0,90.0,163.0,235.0
