feature_set,roc_auc,sensitivity_low,specificity_high,balanced_accuracy,material_gain,retained,f1_low
Base 12 features,0.8349382623732795,0.7484276729559748,0.7659407916464644,0.7571842323012196,0.0,True,
Base + bound SO2 + free SO2 ratio,0.8362364997486017,0.750314465408805,0.7644426643056405,0.7573785648572228,0.0012982373753221976,False,0.6994868570773523
