model,roc_auc,roc_auc_std,sensitivity_low,sensitivity_low_std,specificity_high,specificity_high_std,balanced_accuracy,balanced_accuracy_std,f1_low,f1_low_std,passes_auc,passes_sensitivity,passes_specificity,passes_all_gates
AUC-tuned tree,0.791039663817163,0.01049569822879839,0.6427672955974842,0.03390397980363157,0.7869504114228696,0.026008286532621775,0.714858853510177,0.011096571379677931,0.6424612043052298,0.01610843742411707,True,False,True,False
Balanced tree,0.7868008508161923,0.009208014288155163,0.730817610062893,0.034596912048993914,0.7025641025641025,0.022768350725168755,0.7166908563134978,0.007779721944822436,0.6552774892612628,0.01079499750575205,True,True,True,True
SMOTE tree,0.7834422121556874,0.014612475569680499,0.7383647798742139,0.039447551649224484,0.6962125204657406,0.05399618072274719,0.7172886501699771,0.011619430363690684,0.6571607651891995,0.010292328763581274,True,True,False,False
RBF SVM,0.8264571980694774,0.00933339159001032,0.6308176100628932,0.03349314957407382,0.8432166171272776,0.013641448694207959,0.7370171135950854,0.011082208736211194,0.6657802003111802,0.016401473530352168,True,False,True,False
