feature_set,tuned_cv_auc,balanced_tree_cv_auc,sensitivity_low,specificity_high,balanced_accuracy,retained
Base 12 features,0.791039663817163,0.7868008508161923,0.730817610062893,0.7025641025641025,0.7166908563134978,True
Base + bound SO2 + free SO2 ratio,0.7891645054641379,0.7820542496858572,0.7327044025157232,0.7156909866419322,0.7241976945788277,False
