,precision,recall,f1-score,support
high (>=6),0.771,0.829,0.799,666.0
low (<6),0.672,0.588,0.627,398.0
accuracy,0.739,0.739,0.739,0.739
macro avg,0.722,0.708,0.713,1064.0
weighted avg,0.734,0.739,0.735,1064.0
