,precision,recall,f1-score,support
high (>=6),0.82,0.725,0.77,666.0
low (<6),0.615,0.734,0.669,398.0
accuracy,0.728,0.728,0.728,0.728
macro avg,0.717,0.729,0.719,1064.0
weighted avg,0.743,0.728,0.732,1064.0
