feature,mean_absolute_shap
alcohol,0.1916464645878999
volatile acidity,0.0956288172906144
free sulfur dioxide,0.04431128509078089
sulphates,0.025167987395813645
total sulfur dioxide,0.01065040464763221
fixed acidity,0.01033126541063775
density,0.008632924364431535
citric acid,0.006693185227956066
chlorides,0.00618002509576688
residual sugar,0.004202343263116149
pH,0.0035150501570700185
wine_type,0.0
