feature,importance
alcohol,0.49365698493485943
volatile acidity,0.2072954410624847
sulphates,0.0668916047925704
free sulfur dioxide,0.05925132552362268
chlorides,0.03633804016970328
citric acid,0.03500260503027772
residual sugar,0.02942890011241994
total sulfur dioxide,0.02524896390117899
density,0.024245309705063556
fixed acidity,0.01669663450523904
pH,0.005944190262580238
wine_type,0.0
