,precision,recall,f1-score,support
high (>=6),0.797,0.784,0.79,823.0
low (<6),0.637,0.656,0.647,477.0
accuracy,0.737,0.737,0.737,0.737
macro avg,0.717,0.72,0.719,1300.0
weighted avg,0.739,0.737,0.738,1300.0
