feature,mean_absolute_shap
alcohol,0.1233980840496426
volatile acidity,0.06426045533893737
density,0.047573021999650446
free sulfur dioxide,0.03483714620301573
chlorides,0.03218216894295931
sulphates,0.027569063786931153
citric acid,0.02471932132011437
total sulfur dioxide,0.019646122506364248
residual sugar,0.0176338381654877
pH,0.016322294763030643
fixed acidity,0.010683514322851098
wine_type,0.0035025588256199854
