feature,importance
alcohol,0.5849838738311298
volatile acidity,0.1940890220319635
free sulfur dioxide,0.06202391637271338
sulphates,0.0480533898501897
density,0.025319058280227905
chlorides,0.01983674750922135
total sulfur dioxide,0.019446648043921495
citric acid,0.01737111999969293
residual sugar,0.012548850639595132
pH,0.008292859104112342
fixed acidity,0.008034514337232545
wine_type,0.0
