feature,importance
alcohol,0.6183594381812656
volatile acidity,0.1805127613391417
free sulfur dioxide,0.073486167458319
sulphates,0.04600181269488446
chlorides,0.02054448248774803
total sulfur dioxide,0.01689922207287533
residual sugar,0.011501679980885875
fixed acidity,0.01052827200714866
density,0.00823371928249111
pH,0.007512982811264673
citric acid,0.006419461683975585
wine_type,0.0
