model,fit (ms),predict (ms),per-row inference (us)
K-Nearest Neighbors,3.9,2.82,15.6
Linear Regression,4.8,2.14,11.8
Mean baseline,5.6,2.13,11.8
Gradient Boosting,246.2,3.7,20.4
Random Forest,545.4,20.43,112.9
