treatment,MAE,MSE,RMSE,R2
hum=0 marked missing; fold-fitted median imputation,433.8632836667488,397608.02374148613,630.5616732259313,0.8968306099765291
raw hum=0 retained,430.85264987604836,397549.639281389,630.5153759278112,0.8968457592913703
