model,MAE,MSE,RMSE,R2
Gradient Boosting,458.589,406850.414,637.848,0.868
Random Forest,485.419,480361.483,693.081,0.845
Linear Regression,506.518,448052.612,669.367,0.855
K-Nearest Neighbors,661.742,808631.871,899.24,0.738
Mean baseline,1477.341,3212527.792,1792.353,-0.039
